"DATA_LOAD_ID","RAW_SRC_PK","RAW_SRC_PK_TYP","RAW_FK","RAW_FK_TYP","PRIM_ADDR_TYP","PRIM_ADDR1","PRIM_CITY","PRIM_ST","PRIM_POSTAL_CODE"
ALL_FDIC_201904,"1,324,854,551",PR_RECORD_ID,"30887",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1259 WEST PIONEER WAY/ISLAND",OAK HARBOR,WASHINGTON,"98277"
ALL_FDIC_201904,"1,324,854,552",PR_RECORD_ID,"30888",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"700 SANFORD AVENUE",NEWARK,NEW JERSEY,"7106"
ALL_FDIC_201904,"1,324,854,559",PR_RECORD_ID,"30895",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"100 EAST ENGLISH STREET",WICHITA,KANSAS,"67202"
ALL_FDIC_201904,"1,324,854,596",PR_RECORD_ID,"30932",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"801 HIALEAH DRIVE",HIALEAH,FLORIDA,"33010"
ALL_FDIC_201904,"1,324,854,605",PR_RECORD_ID,"30941",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"135 NORTH MERAMEC",CLAYTON,MISSOURI,"63105"
ALL_FDIC_201904,"1,324,854,611",PR_RECORD_ID,"30947",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,P O BOX 237,VAN BUREN,MISSOURI,"63965"
ALL_FDIC_201904,"1,324,854,628",PR_RECORD_ID,"30964",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"3155 WELLER AVE",BATON ROUGE,LOUISIANA,"70805"
ALL_FDIC_201904,"1,324,854,630",PR_RECORD_ID,"30966",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1265 14TH AVE",LONGVIEW,WASHINGTON,"98632"
ALL_FDIC_201904,"1,324,854,643",PR_RECORD_ID,"30979",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1202 JACKSON ST",RICHMOND,TEXAS,"77469"
ALL_FDIC_201904,"1,324,854,647",PR_RECORD_ID,"30983",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"500 NORTH MESA STREET",EL PASO,TEXAS,"79901"
ALL_FDIC_201904,"1,324,854,662",PR_RECORD_ID,"30998",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,CORNER WEST AND MAIN STREETS,LAVONIA,GEORGIA,"30553"
ALL_FDIC_201904,"1,324,854,664",PR_RECORD_ID,"31000",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"221 WEST GOWE",KENT,WASHINGTON,"98031"
ALL_FDIC_201904,"1,324,854,715",PR_RECORD_ID,"31051",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"400 FERRIS AVE",WAXAHACHIE,TEXAS,"75165"
ALL_FDIC_201904,"1,324,854,728",PR_RECORD_ID,"31064",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"1301 EAST EIGHTH STREET",ODESSA,TEXAS,"79761"
ALL_FDIC_201904,"1,324,854,752",PR_RECORD_ID,"31089",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"205 E CEDAR ROCK ST",PICKENS,SOUTH CAROLINA,"29671"
ALL_FDIC_201904,"1,324,854,756",PR_RECORD_ID,"31093",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"600 MAIN ST",SHARPSBURG,PENNSYLVANIA,"15215"
ALL_FDIC_201904,"1,324,854,766",PR_RECORD_ID,"31103",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"484 MULBERRY STREET",MACON,GEORGIA,"31201"
ALL_FDIC_201904,"1,324,854,775",PR_RECORD_ID,"31112",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"650 SOUTH STREET",MOUNTAIN HOME,ARKANSAS,"72653"
ALL_FDIC_201904,"1,324,854,794",PR_RECORD_ID,"31131",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"601 SOUTH JACKSON STREET",SEATTLE,WASHINGTON,"98104"
ALL_FDIC_201904,"1,324,854,795",PR_RECORD_ID,"31132",FDIC_CERT_NUM,PRIMARY_BANK_ADDR,"824 N KANSAS",LIBERAL,KANSAS,"67901"
